Species,Light_ISF,Soil,Sterile,Conspecific,Myco,SoilMyco,PlantDate,AMF,EMF,Phenolics,Lignin,NSC,Time,Event,Harvest,Alive
1,0.103,6,0,2,1,1,1,15.0,36.17,4.93,25.25,15.55,24.5,1,1,2
2,0.08,2,0,0,1,0,1,12.0,26.42,3.07,26.99,13.0,24.5,1,1,2
1,0.08,5,0,0,1,0,1,52.0,12.24,4.8,17.68,22.0,24.5,1,1,2
2,0.107,5,0,0,1,0,1,27.66,37.81,3.8,26.54,14.73,115.5,1,0,1
3,0.08,5,0,0,0,0,0,31.81,0.0,0.71,9.35,11.66,24.5,0,0,0
0,0.08,4,1,1,0,2,0,16.0,0.0,-0.03,12.14,12.38,24.5,1,1,2
2,0.1,0,0,0,1,0,1,25.8,27.74,3.38,24.3,15.31,63.0,0,0,0
0,0.08,4,1,1,0,2,0,2.0,0.0,0.11,12.46,13.41,24.5,1,1,2
2,0.08,5,0,0,1,0,1,34.0,9.26,2.77,26.63,10.86,24.5,1,1,2
0,0.08,1,0,0,0,1,0,14.69,0.0,0.09,13.72,12.11,24.5,0,0,0
0,0.08,4,1,1,0,2,1,2.0,0.0,-0.03,10.32,12.06,24.5,1,1,2
1,0.103,3,0,0,1,1,1,33.0,28.57,4.82,25.1,15.28,24.5,1,1,2
1,0.103,2,0,0,1,0,1,10.0,5.88,4.61,25.57,15.17,24.5,1,1,2
3,0.08,2,0,0,0,0,0,32.34,0.0,0.37,8.48,11.26,24.5,0,0,0
1,0.1,0,0,0,1,0,1,15.35,29.41,4.15,18.88,23.37,115.5,1,0,1
2,0.1,1,0,2,1,1,1,20.4,43.74,3.66,26.29,14.71,115.5,1,0,1
0,0.095,6,0,0,0,1,0,26.58,0.0,0.04,15.8,12.61,24.5,1,1,2
0,0.082,4,1,1,0,2,1,1.0,0.0,0.36,12.5,13.9,24.5,1,1,2
2,0.082,0,0,0,1,0,1,14.0,11.9,2.53,25.88,10.96,24.5,1,1,2
1,0.095,5,0,0,1,0,1,15.0,66.67,4.77,26.11,14.49,24.5,1,1,2
0,0.095,4,1,1,0,2,1,4.0,0.0,0.09,11.91,12.4,24.5,1,1,2
1,0.087,6,0,2,1,1,1,20.0,0.0,5.16,23.41,16.57,24.5,1,1,2
0,0.107,4,1,1,0,2,1,7.86,0.0,0.06,12.75,12.25,66.5,0,0,0
1,0.095,6,0,2,1,1,1,8.0,2.7,3.4,24.4,11.83,24.5,1,1,2
1,0.087,5,0,0,1,0,1,14.0,29.17,5.04,21.35,18.15,24.5,1,1,2
3,0.082,4,1,1,0,2,0,6.98,0.0,0.29,7.23,11.54,24.5,1,1,2
2,0.082,4,1,1,1,2,1,1.0,0.0,3.38,22.83,16.41,24.5,1,1,2
2,0.107,2,0,0,1,0,1,20.34,28.16,3.54,26.47,14.47,73.5,0,0,0
2,0.107,3,0,0,1,1,1,14.3,29.68,3.69,19.45,19.79,63.0,0,0,0
2,0.1,2,0,0,1,0,1,20.11,24.98,3.52,26.8,14.56,115.5,1,0,1
2,0.087,1,0,2,1,1,1,15.64,32.29,3.63,25.82,14.81,24.5,0,0,0
1,0.1,2,0,0,1,0,1,12.86,22.31,4.67,17.64,23.98,115.5,1,0,1
3,0.082,0,0,2,0,0,0,30.68,0.0,0.38,9.31,11.9,24.5,0,0,0
2,0.087,6,0,0,1,1,1,25.0,8.16,3.83,20.9,18.1,24.5,1,1,2
1,0.107,4,1,1,1,2,1,11.59,11.88,3.73,21.08,17.84,115.5,1,0,1
1,0.098,5,0,0,1,0,1,22.03,30.14,5.01,18.79,22.71,115.5,1,0,1
0,0.083,3,0,0,0,1,0,14.7,0.0,-0.22,13.7,12.02,63.0,0,0,0
3,0.083,4,1,1,0,2,0,10.01,0.0,0.08,7.38,11.59,59.5,0,0,0
1,0.083,1,0,0,1,1,1,22.69,39.08,5.07,20.06,20.32,70.0,0,0,0
2,0.087,1,0,2,1,1,1,14.0,7.0,3.42,24.75,14.66,24.5,1,1,2
0,0.082,1,0,0,0,1,0,14.34,0.0,0.04,13.87,12.07,24.5,0,0,0
1,0.087,1,0,0,1,1,1,20.0,38.89,5.34,20.57,19.41,24.5,1,1,2
2,0.087,0,0,0,1,0,1,18.0,26.67,2.59,27.62,11.09,24.5,1,1,2
0,0.097,4,1,1,0,2,1,6.92,0.0,0.08,12.49,12.31,66.5,0,0,0
3,0.087,4,1,1,0,2,0,21.0,0.0,0.27,10.36,16.74,24.5,1,1,2
0,0.082,0,0,0,0,0,0,15.0,0.0,-0.4,13.33,13.68,24.5,1,1,2
2,0.087,0,0,0,1,0,1,22.29,27.83,3.35,24.9,14.95,24.5,0,0,0
2,0.083,4,1,1,1,2,1,4.89,3.78,3.39,24.95,14.51,59.5,0,0,0
1,0.087,4,1,1,1,2,1,2.0,0.0,3.21,19.19,19.05,24.5,1,1,2
1,0.082,0,0,0,1,0,0,16.0,10.0,3.82,18.49,20.93,24.5,1,1,2
0,0.087,3,0,0,0,1,0,14.72,0.0,-0.08,13.88,12.21,24.5,0,0,0
